"id_che300","cname","car_year","car_name","car_series1","car_price"
17826,"雪铁龙-C4 PICASSO 2009款 GRAND 2.0L 豪华型","2009","雪铁龙","C4毕加索","28.2"
17825,"雪铁龙-C4 PICASSO 2009款 GRAND 2.0L 舒适型","2009","雪铁龙","C4毕加索","26.03"
17825,"雪铁龙-C4 PICASSO 2009款 GRAND 2.0L 舒适型","2009","雪铁龙","C4毕加索","26.05"
28272,"雪铁龙-C4 PICASSO 2015款 GRAND 1.6T 豪华型 7座","2015","雪铁龙","C4毕加索","26.46"
29380,"雪铁龙-C4世嘉 2016款 1.2THP 手动舒适型","2016","雪铁龙","C4世嘉","12.39"
29381,"雪铁龙-C4世嘉 2016款 1.2THP 自动豪华型","2016","雪铁龙","C4世嘉","14.58"
29382,"雪铁龙-C4世嘉 2016款 1.6THP 自动旗舰型","2016","雪铁龙","C4世嘉","17.18"
29377,"雪铁龙-C4世嘉 2016款 1.6L 手动豪华型","2016","雪铁龙","C4世嘉","12.18"
29376,"雪铁龙-C4世嘉 2016款 1.6L 手动舒适型","2016","雪铁龙","C4世嘉","11.24"
29376,"雪铁龙-C4世嘉 2016款 1.6L 手动舒适型","2016","雪铁龙","C4世嘉","11.26"
29379,"雪铁龙-C4世嘉 2016款 1.6L 自动豪华型","2016","雪铁龙","C4世嘉","13.43"
29378,"雪铁龙-C4世嘉 2016款 1.6L 自动舒适型","2016","雪铁龙","C4世嘉","12.49"
29378,"雪铁龙-C4世嘉 2016款 1.6L 自动舒适型","2016","雪铁龙","C4世嘉","12.51"
29383,"雪铁龙-C4世嘉 2016款 1.6THP 自动旗舰型","2016","雪铁龙","C4世嘉","17.18"
32514,"雪铁龙-C4世嘉 2016款 悦心版 1.6L 自动豪华型","2016","雪铁龙","C4世嘉","13.85"
24050,"东风-风行CM7 2014款 2.0T 手动豪华型","2014","东风风行","CM7","16.71"
24052,"东风-风行CM7 2014款 2.0T 手动旗舰型","2014","东风风行","CM7","18.89"
24052,"东风-风行CM7 2014款 2.0T 手动旗舰型","2014","东风风行","CM7","18.88"
24051,"东风-风行CM7 2014款 2.0T 手动尊享型","2014","东风风行","CM7","17.79"
24048,"东风-风行CM7 2014款 2.4L 手动公务型","2014","东风风行","CM7","14.97"
24049,"东风-风行CM7 2014款 2.4L 手动行政型","2014","东风风行","CM7","16.05"
24049,"东风-CM7 2014款 2.4L 手动行政型","2014","东风风行","CM7","16.05"
24047,"东风-风行CM7 2014款 2.4L 手动商务型","2014","东风风行","CM7","14.1"
24047,"东风-风行CM7 2014款 2.4L 手动商务型","2014","东风风行","CM7","14.11"
29238,"东风-风行CM7 2016款 2.0T 手动豪华型","2016","东风风行","CM7","16.27"
29239,"东风-风行CM7 2016款 2.0T 手动尊享型","2016","东风风行","CM7","17.36"
29239,"东风-CM7 2016款 2.0T 手动尊享型","2016","东风风行","CM7","17.36"
29240,"东风-风行CM7 2016款 2.0T 自动豪华型","2016","东风风行","CM7","18.12"
29242,"东风-风行CM7 2016款 2.0T 自动尊贵型","2016","东风风行","CM7","21.7"
29242,"东风-CM7 2016款 2.0T 自动尊贵型","2016","东风风行","CM7","21.7"
29241,"东风-风行CM7 2016款 2.0T 自动尊享型","2016","东风风行","CM7","19.53"
5707,"DS-3 2012款 1.6L 风尚版","2012","DS","DS 3","22.94"
5707,"DS-3 2012款 1.6L 风尚版","2012","DS","DS 3","22.92"
5707,"DS- 3 2012款 1.6L 风尚版","2012","DS","DS 3","22.94"
5706,"DS-3 2012款 1.6L 时尚版","2012","DS","DS 3","20.83"
5708,"DS-3 2012款 1.6L 至尊版","2012","DS","DS 3","26.05"
5704,"DS-3 2013款 1.6L 风尚敞篷版","2013","DS","DS 3","26.05"
5709,"DS-4 2012款 1.6T 风尚版","2012","DS","DS 4","25.32"
5710,"DS-4 2012款 1.6T 雅致版","2012","DS","DS 4","28.45"
30775,"DS-4S 2016款 1.6T 自动睿动版THP160","2016","DS","DS 4S","17.92"
5697,"DS-5 2013款 1.6T 豪华版THP160","2013","DS","DS 5","25.43"
5697,"DS-5 2013款 1.6T 豪华版THP160","2013","DS","DS 5","25.44"
5695,"DS-5 2013款 1.6T 雅致版THP160","2013","DS","DS 5","22.93"
5698,"DS-5 2013款 1.6T 豪华版THP200","2013","DS","DS 5","27.2"
5698,"DS-5 2013款 1.6T 豪华版THP200","2013","DS","DS 5","27.22"
5696,"DS-5 2013款 1.6T 雅致版THP200","2013","DS","DS 5","24.7"
5699,"DS-5 2013款 1.6T 尊享版THP200","2013","DS","DS 5","31.48"
5699,"DS-5 2013款 1.6T 尊享版THP200","2013","DS","DS 5","31.49"
27930,"DS-5 2014款 1.6T 豪华版THP160","2014","DS","DS 5","25.43"
27930,"DS-5 2014款 1.6T 豪华版THP160","2014","DS","DS 5","25.44"
27933,"DS-5 2014款 1.6T 豪华版THP200","2014","DS","DS 5","27.2"
27933,"DS-5 2014款 1.6T 豪华版THP200","2014","DS","DS 5","27.22"
27929,"DS-5 2014款 1.6T 雅致版THP160","2014","DS","DS 5","22.93"
27929,"DS-5 2014款 1.6T 雅致版THP160","2014","DS","DS 5","22.94"
27932,"DS-5 2014款 1.6T 雅致版THP200","2014","DS","DS 5","24.7"
27932,"DS-5 2014款 1.6T 雅致版THP200","2014","DS","DS 5","24.71"
27934,"DS-5 2014款 1.6T 尊享版THP200","2014","DS","DS 5","31.9"
28124,"DS-5 2015款 1.6T 雅致版THP160","2015","DS","DS 5","22.93"
28124,"DS-DS 5 2015款 1.6T 雅致版THP160","2015","DS","DS 5","22.93"
28126,"DS-5 2015款 1.8T 豪华版THP200","2015","DS","DS 5","28.65"
28127,"DS-5 2015款 1.8T 尊享版THP200","2015","DS","DS 5","33.53"
5701,"DS-5(进口) 2012款 1.6T 豪华版","2012","DS","DS 5-进口","34.81"
5700,"DS-5(进口) 2012款 1.6T 雅致版","2012","DS","DS 5-进口","31.16"
5702,"DS-5(进口) 2012款 1.6T 尊享版","2012","DS","DS 5-进口","36.37"
5702,"DS-DS 5(进口) 2012款 1.6T 尊享版","2012","DS","DS 5-进口","36.37"
23041,"DS-5LS 2014款 1.6T 豪华版THP160","2014","DS","DS 5LS","20.84"
23041,"DS-5LS 2014款 1.6T 豪华版THP160","2014","DS","DS 5LS","20.85"
23041,"DS- 5LS 2014款 1.6T 豪华版THP160","2014","DS","DS 5LS","20.84"
23041,"DS- 5LS 2014款 1.6T 豪华版THP160","2014","DS","DS 5LS","20.85"
23040,"DS-5LS 2014款 1.6T 雅致版THP160","2014","DS","DS 5LS","19.28"
23040,"DS-5LS 2014款 1.6T 雅致版THP160","2014","DS","DS 5LS","19.29"
23042,"DS-5LS 2014款 1.6T 豪华版THP200","2014","DS","DS 5LS","22.62"
23042,"DS 5LS 2014款 1.6T 豪华版THP200","2014","DS","DS 5LS","22.62"
23043,"DS-5LS 2014款 1.6T 尊享版 THP200","2014","DS","DS 5LS","25.75"
23043,"DS-5LS 2014款 1.6T 尊享版THP200","2014","DS","DS 5LS","25.75"
23044,"DS-5LS 2014款 1.8L 手动舒适版VTI140","2014","DS","DS 5LS","15.95"
23046,"DS-5LS 2014款 1.8L 雅致版VTI140","2014","DS","DS 5LS","18.66"
23045,"DS-5LS 2014款 1.8L 自动舒适版VTI140","2014","DS","DS 5LS","17.03"
23045,"DS-5LS 2014款 1.8L 自动舒适版VTI140","2014","DS","DS 5LS","17.04"
28287,"DS-5LS 2015款 1.6T 风尚版THP160","2015","DS","DS 5LS","17.6"
28287,"DS-5LS 2015款 1.6T 风尚版THP160","2015","DS","DS 5LS","17.62"
28289,"DS-5LS 2015款 1.6T 豪华版THP160","2015","DS","DS 5LS","20.83"
28289,"DS- 5LS 2015款 1.6T 豪华版THP160","2015","DS","DS 5LS","20.83"
28290,"DS-5LS 2015款 1.6T 豪华版THP200","2015","DS","DS 5LS","22.61"
28286,"DS-5LS 2015款 1.6T 舒适版THP160","2015","DS","DS 5LS","16.77"
28286,"DS-5LS 2015款 1.6T 舒适版THP160","2015","DS","DS 5LS","16.79"
28288,"DS-5LS 2015款 1.6T 雅致版THP160","2015","DS","DS 5LS","19.48"
28288,"DS-5LS 2015款 1.6T 雅致版THP160","2015","DS","DS 5LS","19.5"
30930,"DS-5LS 2016款 1.6T 豪华版THP160","2016","DS","DS 5LS","20.83"
30933,"DS-5LS 2016款 1.6T 舒适版THP160","2016","DS","DS 5LS","16.77"
23517,"DS-6 2014款 1.6T 豪华版THP160","2014","DS","DS 6","23.97"
23517,"DS- 6 2014款 1.6T 豪华版THP160","2014","DS","DS 6","23.97"
23517,"DS-6 2014款 1.6T 豪华版THP160","2014","DS","DS 6","23.98"
23519,"DS-6 2014款 1.6T 豪华版THP200","2014","DS","DS 6","26.06"
23519,"DS-6 2014款 1.6T 豪华版THP200","2014","DS","DS 6","26.07"
23516,"DS-6 2014款 1.6T 雅致版THP160","2014","DS","DS 6","21.57"
23520,"DS-6 2014款 1.6T 尊享版THP200","2014","DS","DS 6","31.48"
28744,"DS-6 2016款 1.6T 豪华版THP160","2016","DS","DS 6","23.97"
28744,"DS- 6 2016款 1.6T 豪华版THP160","2016","DS","DS 6","23.97"
28743,"DS-6 2016款 1.6T 雅致版THP160","2016","DS","DS 6","21.57"
1127923,"北汽新能源-EC系列 2017款 EC180 灵动版","2017","北汽新能源","EC系列","15.83"
1127923,"北汽新能源-EC系列 2017款 EC180 灵动版","2017","北汽新能源","EC系列","4.48"
1127922,"北汽新能源-EC系列 2017款 180 灵秀版","2017","北汽新能源","EC系列","16.45"
29995,"北汽新能源-EU系列 2016款 EU260 乐享版","2016","北汽新能源","EU系列","26.79"
33008,"北汽新能源-EU系列 2016款 EU260 乐途PLUS版","2016","北汽新能源","EU系列","25.02"
1128074,"北汽新能源-EU系列 2017款 EU260 乐享版","2017","北汽新能源","EU系列","22.51"
29993,"北汽新能源-EV系列 2014款 E150EV 科技版","2014","北汽新能源","EV系列","24.07"
29993,"北汽新能源-EV系列 2014款 E150EV 科技版","2014","北汽新能源","EV系列","24.09"
29992,"北汽新能源-EV系列 2014款 E150EV 时尚版","2014","北汽新能源","EV系列","23.02"
29992,"北汽新能源-EV系列 2014款 E150EV 时尚版","2014","北汽新能源","EV系列","23.04"
29987,"北汽新能源-EV系列 2015款 EV160 轻快版","2015","北汽新能源","EV系列","18.45"
29987,"北汽新能源-EV系列 2015款 EV160 轻快版","2015","北汽新能源","EV系列","18.46"
29988,"北汽新能源-EV系列 2015款 EV160 轻秀版","2015","北汽新能源","EV系列","19.7"
29988,"北汽新能源-EV系列 2015款 EV160 轻秀版","2015","北汽新能源","EV系列","19.71"
29989,"北汽新能源-EV系列 2015款 EV200 轻快版","2015","北汽新能源","EV系列","21.78"
29989,"北汽新能源-EV系列 2015款 EV200 轻快版","2015","北汽新能源","EV系列","21.79"
29990,"北汽新能源-EV系列 2015款 EV200 轻秀版","2015","北汽新能源","EV系列","23.66"
31266,"北汽新能源-EV系列 2016款 EV160 轻快版","2016","北汽新能源","EV系列","18.54"
31266,"北汽新能源-EV系列 2016款 EV160 轻快版","2016","北汽新能源","EV系列","18.56"
31265,"北汽新能源-EV系列 2016款 EV160 轻秀版","2016","北汽新能源","EV系列","19.8"
1127334,"北汽新能源-EX系列 2016款 EX200 乐活版","2016","北汽新能源","EX系列","21.57"
1127333,"北汽新能源-EX系列 2016款 EX200 乐酷版","2016","北汽新能源","EX系列","22.62"
1128076,"北汽新能源-EX系列 2017款 EX260 乐酷版","2017","北汽新能源","EX系列","21.16"
6789,"丰田-FJ 酷路泽 2010款 4.0L","2010","丰田","FJ酷路泽","57.53"
6788,"丰田-FJ 酷路泽 2011款 4.0L","2011","丰田","FJ酷路泽","58.94"
30801,"SMART FORFOUR 2016款 0.9T 吴亦凡特别版","2016","SMART","FORFOUR","18.34"
30801,"SMART-FORFOUR 2016款 0.9T 吴亦凡特别版","2016","SMART","FORFOUR","18.34"
30802,"SMART- FORFOUR 2016款 0.9T 先锋版","2016","SMART","FORFOUR","17.31"
30802,"SMART-FORFOUR 2016款 0.9T 先锋版","2016","SMART","FORFOUR","17.31"
30803,"SMART-FORFOUR 2016款 1.0L 激情版","2016","SMART","FORFOUR","15.22"
30804,"SMART-FORFOUR 2016款 1.0L 灵动版","2016","SMART","FORFOUR","14.08"
29726,"丰田-FORTUNER 2015款 2.7L 标准版","2015","丰田","FORTUNER","28.01"
31956,"丰田-FORTUNER 2016款 2.7L 中东版","2016","丰田","FORTUNER","36.91"
16434,"SMART-FORTWO 2009款 1.0 MHD 敞篷 STYLE版","2009","SMART","FORTWO","21.48"
16433,"SMART-FORTWO 2009款 1.0 MHD 敞篷 标准版","2009","SMART","FORTWO","19.6"
16432,"SMART-FORTWO 2009款 1.0 MHD 硬顶 STYLE版","2009","SMART","FORTWO","18.35"
16431,"SMART-FORTWO 2009款 1.0 MHD 硬顶 标准版","2009","SMART","FORTWO","16.48"
16428,"SMART-FORTWO 2010款 1.0 硬顶 PURE版","2010","SMART","FORTWO","14.06"
16422,"SMART-FORTWO 2011款 1.0 MHD 敞篷激情版","2011","SMART","FORTWO","17.52"
16422,"SMART FORTWO 2011款 1.0 MHD 敞篷激情版","2011","SMART","FORTWO","17.52"
16422,"SMART- FORTWO 2011款 1.0 MHD 敞篷激情版","2011","SMART","FORTWO","17.52"
16422,"SMART-SMART FORTWO 2011款 1.0 MHD 敞篷激情版","2011","SMART","FORTWO","17.52"
16416,"SMART-FORTWO 2011款 1.0 MHD 硬顶标准版","2011","SMART","FORTWO","11.99"
16416,"SMART FORTWO 2011款 1.0 MHD 硬顶标准版","2011","SMART","FORTWO","11.99"
16417,"SMART-FORTWO 2011款 1.0 MHD 硬顶激情版","2011","SMART","FORTWO","14.39"
16417,"SMART FORTWO 2011款 1.0 MHD 硬顶激情版","2011","SMART","FORTWO","14.39"
16417,"SMART-SMART FORTWO 2011款 1.0 MHD 硬顶激情版","2011","SMART","FORTWO","14.39"
16417,"SMART- FORTWO 2011款 1.0 MHD 硬顶激情版","2011","SMART","FORTWO","14.39"
16418,"SMART-FORTWO 2011款 1.0 MHD兔年特别版","2011","SMART","FORTWO","14.47"
16425,"SMART-FORTWO 2011款 1.0T 敞篷激情版","2011","SMART","FORTWO","19.6"
16420,"SMART-FORTWO 2011款 1.0T 硬顶激情版","2011","SMART","FORTWO","16.48"
16420,"SMART FORTWO 2011款 1.0T 硬顶激情版","2011","SMART","FORTWO","16.48"
16427,"SMART-FORTWO 2011款 1.0T 博速特别版","2011","SMART","FORTWO","23.46"
16410,"SMART-FORTWO 2012款 1.0 MHD 敞篷激情版","2012","SMART","FORTWO","17.52"
16401,"SMART-FORTWO 2012款 1.0 MHD 硬顶标准版","2012","SMART","FORTWO","11.99"
