"id_che300","id_autohome"
"1","13521"
"2","13522"
"3","13515"
"4","13523"
"5","13524"
"6","13525"
"7","16957"
"8","13526"
"9","13527"
"10","10760"
"11","10761"
"12","10762"
"13","10763"
"14","10764"
"15","10765"
"16","10766"
"17","10767"
"18","8575"
"19","8578"
"20","8579"
"21","8580"
"22","8581"
"23","8583"
"24","8584"
"25","8585"
"26","5863"
"27","5886"
"28","5887"
"29","5888"
"30","5889"
"31","5864"
"32","5890"
"33","4637"
"34","4641"
"35","4642"
"36","4640"
"37","4639"
"38","15734"
"39","15837"
"40","15838"
"41","15839"
"42","15840"
"43","15841"
"44","11446"
"45","11447"
"46","11448"
"47","11450"
"48","11449"
"49","9017"
"50","9019"
"51","9020"
"52","9021"
"53","9022"
"54","5302"
"55","7362"
"56","7363"
"57","7364"
"58","12412"
"59","12413"
"60","12414"
"61","12203"
"62","12418"
"63","12419"
"64","12415"
"65","12416"
"66","12417"
"67","12268"
"68","9305"
"69","9306"
"70","9307"
"71","9316"
"72","9308"
"73","9309"
"74","9310"
"75","9315"
"76","9313"
"77","9311"
"78","9312"
"80","5774"
"81","5775"
"82","5779"
"83","5782"
"84","5783"
"85","5781"
"86","5895"
"87","5777"
"88","5780"
"89","5778"
"90","5776"
"91","4441"
"92","4442"
"93","4443"
"94","4444"
"95","4445"
"96","4446"
"97","4430"
"98","4447"
"99","4448"
"100","4449"
"101","3667"
"102","3668"
"103","3670"
"104","3671"
"111","2641"
"113","2643"
"115","1397"
"116","1397"
"117","1598"
"118","1878"
"119","1596"
"122","1721"
"125","2562"
"126","1599"
"128","1720"
"130","1723"
"160","100142"
"161","100141"
"167","101051"
"168","14775"
"169","15533"
"170","15534"
"171","14774"
"172","15535"
"173","14411"
"178","2916"
"179","2920"
"180","2921"
"182","1523"
"184","1524"
"185","1529"
"186","1525"
"197","147"
"198","982"
"199","982"
"200","854"
"202","981"
"205","100161"
"218","15642"
"219","15643"
"220","15650"
"221","15649"
"222","15644"
"223","15651"
"224","15646"
"225","15645"
"226","15647"
"227","15648"
"228","13627"
"229","13628"
"230","13634"
"231","13629"
"232","13635"
"233","13631"
"234","13630"
"235","13632"
"236","13633"
"237","8557"
"238","8558"
"239","8559"
"240","8560"
"241","7492"
"242","8561"
"243","8562"
"244","5994"
"245","6282"
"246","5988"
"247","5989"
"248","6307"
"249","5990"
"250","6305"
"251","6306"
"252","5991"
"253","6298"
"254","5992"
"255","5993"
"257","5639"
"262","3036"
"263","3037"
"264","3038"
"265","3039"
"266","3040"
"267","2598"
"268","1675"
"269","10568"
"270","10569"
"271","8830"
"272","8830"
"273","10570"
"274","11028"
"275","10572"
"276","10571"
"277","10573"
"278","10574"
"279","9971"
"280","10695"
"281","13812"
"282","13813"
"283","13820"
"284","13821"
"285","13818"
"286","13822"
"287","13823"
"288","13824"
"289","13817"
"290","13814"
"291","13815"
"292","13816"
"293","13828"
"294","13829"
"295","12097"
"296","12099"
"298","12100"
"299","12101"
"300","12103"
"301","12102"
"302","8967"
"303","8968"
"304","8966"
"305","8965"
"306","7533"
"307","7534"
"309","6463"
"315","6464"
"317","5387"
"318","5518"
"319","5519"
"320","3532"
"321","3533"
"322","3529"
"323","3530"
"324","3531"
"332","101073"
"335","17306"
"336","17307"
"337","17195"
"338","17305"
"339","11394"
"340","14300"
"341","2828"
"343","6071"
"344","4747"
"345","14318"
"346","16127"
"347","14313"
"348","16120"
"349","14316"
"350","16125"
"351","14314"
"352","14319"
"353","16121"
"354","16128"
"355","14317"
"356","16126"
"357","14320"
"358","16129"
"359","14315"
"360","16124"
"361","10470"
"362","10464"
"363","10469"
"364","12117"
"365","12121"
"366","12120"
"367","12122"
"368","12118"
"376","5677"
"377","7819"
"378","7823"
"379","7820"
"380","7824"
"381","4727"
"382","7821"
"383","5034"
"384","3129"
"385","3021"
"386","17050"
"387","17051"
"388","17052"
"389","17053"
"391","13936"
"393","13934"
"394","14965"
"396","13854"
"397","14966"
"398","11069"
"399","7117"
"400","7244"
"401","13832"
"402","12676"
"403","13830"
"404","13831"
"408","13793"
"409","15264"
"410","15268"
"411","15266"
"412","13795"
"413","15265"
"414","15269"
"415","13794"
"416","15267"
"417","13796"
"418","13791"
"419","13792"
"420","12607"
"421","12608"
"422","6952"
"423","4583"
"424","4245"
"425","2607"
"426","4082"
"427","4081"
"430","101082"
"431","101082"
"432","9047"
"433","12604"
"434","9048"
"435","12605"
"436","7834"
"437","7480"
"438","14308"
"439","14309"
"440","14310"
"441","14311"
"442","14312"
"448","7771"
"449","7772"
"451","7773"
"453","7774"
"454","9057"
"467","13878"
"468","11191"
"469","6736"
"473","14973"
"474","15389"
"475","15842"
"476","8901"
"477","3844"
"478","6315"
"479","5388"
"480","6316"
"483","10768"
"484","4687"
"485","10463"
"486","10480"
"487","10468"
"491","5955"
"492","4726"
"493","7822"
"494","4265"
"495","13467"
"496","13466"
"497","13468"
"498","10772"
"499","10771"
"501","101083"
"505","13802"
"506","10863"
"509","17375"
"510","14918"
"512","17376"
"514","17378"
"515","17377"
"516","13904"
"517","3491"
"518","3492"
"519","5527"
"520","3492"
"524","9751"
"527","3489"
"528","3490"
"529","4251"
"530","4252"
"537","5531"
"538","5530"
"539","5024"
"540","3493"
"542","9545"
"543","9562"
"551","15962"
"552","15963"
"553","12076"
"554","12065"
"555","12031"
"556","12077"
"557","12078"
"558","7249"
"559","7250"
"560","7251"
"561","7252"
"562","7253"
"563","7254"
"564","4330"
"565","3448"
"567","2974"
"568","3449"
"569","2975"
"570","2976"
"572","1824"
"573","1626"
"574","1825"
"575","1627"
"577","15948"
"578","15949"
"579","15950"
"583","10952"
"584","10953"
"585","10954"
"586","10955"
"587","10956"
"588","10957"
"589","10952"
"590","10953"
"591","10954"
"592","10955"
"593","10956"
"594","10957"
"595","4151"
"596","4153"
"597","4152"
"598","4154"
"599","2095"
"600","2096"
"601","2097"
"602","2070"
"603","2071"
"604","2072"
"605","5407"
"606","4808"
"607","4810"
"608","4812"
"609","4809"
"610","4811"
"611","4813"
"612","4814"
"613","16543"
"614","16542"
"615","16541"
"616","15816"
"617","12593"
"618","12530"
"619","14498"
"620","14499"
"621","14500"
"622","14501"
"623","14435"
"624","5487"
"625","5703"
"626","5705"
"627","5704"
"628","5706"
"629","13041"
"630","11399"
"631","15608"
"632","13042"
"633","15609"
"634","17012"
"635","17013"
"636","16986"
"637","16643"
"638","16696"
"639","17011"
"640","15117"
"641","13980"
"642","13981"
"643","13982"
"644","13847"
"645","13983"
"646","11937"
"647","11794"
"648","11938"
"649","11939"
"650","11940"
"651","11941"
"652","11942"
"653","11943"
"654","9300"
"655","9299"
"656","9298"
