"id_che300","id_czb"
"1","4044"
"2","4045"
"3","4039"
"4","4046"
"5","4047"
"6","4048"
"7","6719"
"8","4049"
"9","4050"
"10","1971"
"11","1972"
"12","1973"
"13","1974"
"14","1975"
"15","1976"
"16","1977"
"17","1978"
"18","13332"
"19","13335"
"20","13336"
"21","13337"
"22","13338"
"23","13339"
"24","13340"
"25","13341"
"26","11409"
"27","11427"
"28","11428"
"29","11429"
"30","11430"
"31","11410"
"32","11431"
"33","10521"
"34","10524"
"35","10525"
"36","10523"
"37","10522"
"38","5724"
"39","5790"
"40","5791"
"41","5792"
"42","5793"
"43","5794"
"44","2471"
"45","2472"
"46","2473"
"47","2476"
"48","2474"
"49","13652"
"50","13654"
"51","13656"
"52","13657"
"53","13658"
"54","10984"
"55","12425"
"56","12426"
"57","12427"
"58","3164"
"59","3165"
"60","3166"
"61","2997"
"62","3170"
"63","3171"
"64","3167"
"65","3168"
"66","3169"
"67","3033"
"68","13895"
"69","13896"
"70","13897"
"71","13906"
"72","13898"
"73","13899"
"74","13900"
"75","13905"
"76","13903"
"77","13901"
"78","13902"
"80","11333"
"81","11334"
"82","11338"
"83","11342"
"84","11343"
"85","11341"
"86","11432"
"87","11336"
"88","11340"
"89","11337"
"90","11335"
"91","10358"
"92","10359"
"93","10360"
"94","10361"
"95","10362"
"96","10363"
"97","10347"
"98","10364"
"99","10365"
"100","10366"
"101","9695"
"102","9696"
"103","9699"
"104","9700"
"109","9040415"
"111","8731"
"113","8733"
"114","9021829"
"115","4403"
"116","4403"
"117","5893"
"118","8001"
"119","5873"
"120","9021875"
"122","6924"
"123","6924"
"125","8652"
"126","5901"
"128","9000118"
"130","6938"
"149","9021826"
"152","9021826"
"153","9032413"
"154","9018875"
"157","9032413"
"159","9028935"
"160","9003673"
"161","9007660"
"163","9005727"
"164","9000140"
"165","9003818"
"166","9000140"
"167","9005713"
"168","5009"
"169","5560"
"170","5561"
"171","5008"
"172","5562"
"173","4717"
"178","8996"
"179","9000"
"180","9001"
"181","9017661"
"182","5333"
"184","5336"
"185","9017662"
"186","5342"
"187","9017656"
"188","9017658"
"190","9017660"
"191","9017659"
"192","9017654"
"193","9017655"
"194","9017645"
"195","9017653"
"197","4955"
"198","14226"
"199","9017647"
"200","9017648"
"202","9017663"
"204","9017646"
"205","9017649"
"206","9017650"
"207","9017651"
"208","9017652"
"218","5647"
"219","5648"
"220","5656"
"221","5654"
"222","5649"
"223","5657"
"224","5651"
"225","5650"
"226","5652"
"227","5653"
"228","4117"
"229","4118"
"230","4124"
"231","4119"
"232","4125"
"233","4121"
"234","4120"
"235","4122"
"236","4123"
"237","13316"
"238","13317"
"239","13318"
"240","13319"
"241","12532"
"242","13320"
"243","13321"
"244","11510"
"245","11719"
"246","11504"
"247","11505"
"248","11739"
"249","11506"
"250","11737"
"251","11738"
"252","11507"
