"id_che300","id_yiche"
"1","101722"
"2","101721"
"3","101719"
"4","101723"
"5","101724"
"6","101725"
"7","105322"
"8","101726"
"9","101727"
"10","15055"
"11","15048"
"12","15049"
"13","15050"
"14","15051"
"15","15052"
"16","15053"
"17","15054"
"18","12032"
"19","12036"
"20","12037"
"21","12038"
"22","12039"
"23","12040"
"24","12041"
"25","12042"
"26","9132"
"27","9177"
"28","9176"
"29","9175"
"30","9178"
"31","9131"
"32","9179"
"33","7250"
"34","7251"
"35","7427"
"36","7252"
"37","7209"
"38","103823"
"39","103826"
"40","103828"
"41","103830"
"42","103831"
"43","103832"
"44","15461"
"45","15463"
"46","15465"
"47","15467"
"48","15466"
"49","12546"
"50","12547"
"51","12548"
"52","12549"
"53","12550"
"54","9868"
"55","10692"
"56","10693"
"57","10694"
"58","16516"
"59","16515"
"60","16514"
"61","16513"
"62","16512"
"63","16356"
"64","16510"
"65","16509"
"66","16508"
"67","16355"
"68","12871"
"69","12872"
"70","107060"
"71","12873"
"72","12874"
"73","12875"
"74","12876"
"76","12879"
"77","12877"
"78","12878"
"80","9089"
"81","9090"
"82","9091"
"83","9092"
"84","9093"
"85","9094"
"86","9107"
"87","9097"
"88","9095"
"89","9096"
"90","9098"
"91","107059"
"92","6995"
"93","6996"
"94","6997"
"95","7000"
"96","7001"
"97","7005"
"98","7003"
"99","7002"
"100","7007"
"101","2656"
"102","2658"
"103","2665"
"104","3914"
"105","2663"
"106","7327"
"107","7328"
"108","107025"
"109","101277"
"110","4764"
"111","2661"
"112","2662"
"113","2664"
"114","2647"
"115","2648"
"116","2650"
"117","2651"
"118","2652"
"119","2641"
"120","2653"
"122","2645"
"123","2643"
"124","4763"
"125","2657"
"126","2646"
"127","2660"
"128","2659"
"129","2644"
"130","2645"
"145","108736"
"146","6909"
"149","107017"
"150","6914"
"151","6910"
"152","107017"
"153","6913"
"154","6915"
"157","6916"
"158","6920"
"159","107019"
"160","15593"
"161","15594"
"163","107044"
"164","107015"
"165","107015"
"166","107015"
"167","8729"
"168","102947"
"169","103593"
"170","15342"
"171","103605"
"172","103611"
"173","102948"
"178","4766"
"179","6934"
"180","2695"
"181","2697"
"182","2680"
"184","2681"
"185","109691"
"186","2684"
"187","2685"
"188","2687"
"190","2696"
"191","2688"
"192","2682"
"193","2683"
"194","2666"
"195","2677"
"197","2678"
"198","2670"
"199","2671"
"200","2672"
"201","2679"
"202","4782"
"204","2669"
"205","2673"
"206","2674"
"207","2675"
"208","2676"
"218","103980"
"219","103979"
"220","103970"
"221","103971"
"222","103978"
"223","103965"
"224","103975"
"225","103976"
"226","103974"
"227","103972"
"228","101890"
"229","101891"
"230","101888"
"231","101892"
"232","101889"
"233","101894"
"234","101893"
"235","101896"
"236","101897"
"237","11375"
"238","12017"
"239","12018"
"240","12020"
"241","12019"
"242","12021"
"243","12022"
"244","9325"
"245","9632"
"246","9326"
"247","9327"
"248","9634"
"249","9328"
"250","9633"
"251","9636"
"252","9329"
"253","9635"
"254","9330"
"255","9331"
"256","11437"
"257","12627"
"258","8863"
"259","8865"
"260","8864"
"261","8866"
"262","4298"
"263","4299"
"264","4300"
"265","4302"
"266","4303"
"267","3467"
"268","4301"
"269","14701"
"270","14702"
"271","101205"
"272","14730"
"273","14703"
"274","101207"
"275","14705"
"276","14704"
"277","14706"
"278","14707"
"279","101913"
"280","104284"
"281","102031"
"282","102032"
"283","102768"
"284","102769"
"285","102770"
"286","102771"
"287","102772"
"288","102773"
"289","102774"
"290","102033"
"291","102034"
"292","102035"
"293","102775"
"294","102776"
"295","101156"
"296","101164"
"297","102209"
"298","101170"
"299","101174"
"300","101175"
"301","101208"
"302","13008"
"303","13007"
"304","13006"
"305","13005"
"306","12970"
"307","14281"
"308","11227"
"309","9937"
"310","11228"
"311","11229"
"312","11230"
"313","11231"
"314","11232"
"315","9938"
"316","11233"
"317","8633"
"318","8634"
"319","8635"
"320","3469"
"321","4719"
"322","3509"
"323","4720"
"324","4721"
"325","3471"
"326","7440"
"327","3472"
"328","3511"
"329","6443"
"330","3470"
"331","6444"
"332","10202"
"333","10200"
"334","10201"
"335","105964"
"336","105963"
"337","105962"
"338","105961"
"339","102170"
"342","14766"
"343","14448"
"344","11370"
"345","103052"
"346","104253"
"347","103047"
"348","104249"
"349","103050"
"350","104251"
"351","103048"
"352","103053"
"353","104250"
"354","104254"
"355","103051"
"356","104252"
"357","103054"
"358","104256"
"359","103049"
"360","104255"
"361","16223"
"362","16064"
"363","16186"
"364","16181"
"365","16224"
"366","16220"
"367","16225"
"368","16183"
"369","13539"
"370","13543"
"371","13540"
"372","13544"
"373","13541"
"374","13536"
"375","13542"
"376","11084"
"377","8942"
"378","11085"
"379","11081"
"380","11086"
"381","11088"
"382","11082"
"383","20000881"
"384","5212"
"385","5211"
"386","105593"
"387","105591"
"388","105596"
"389","105602"
"390","103044"
"391","102134"
"392","103043"
"393","102135"
"394","103149"
"395","103042"
"396","102136"
"397","103150"
"398","14997"
"399","14998"
"400","14999"
"401","102077"
"402","102076"
"403","102078"
"404","102079"
"405","15382"
"406","15383"
"407","15384"
"408","102415"
"409","103372"
"410","103373"
"411","103374"
"412","102415"
"413","103375"
"414","103376"
"415","102416"
"416","103377"
"417","102416"
"420","100208"
"421","100206"
"422","9960"
"423","7262"
"426","7199"
"427","7255"
"428","7199"
"429","15442"
"430","6446"
"431","6445"
"432","15478"
"433","12567"
"434","12565"
"435","12568"
"438","102338"
"439","102931"
"440","102924"
"441","102923"
"442","102922"
"448","11366"
"449","11367"
"450","11368"
"451","11833"
"452","11369"
"453","11834"
"454","104279"
"455","4632"
"456","5498"
"457","5499"
"458","5500"
"459","5501"
"460","5502"
"461","5572"
"462","5583"
"463","5586"
"464","5587"
"465","6442"
"466","8729"
"467","102084"
"468","102083"
"469","6440"
"470","6439"
"471","6441"
"472","9947"
