match_des,id_data_input,id_che300,brand,series
right,4067,1000150,昌河,福瑞达
right,4069,1000152,昌河,福瑞达
right,4068,1000153,昌河,福瑞达
right,4070,1000155,昌河,福瑞达
right,4072,1000156,昌河,福瑞达
right,1142512,1000272,东风小康,东风小康K06
right,1142511,1000274,东风小康,东风小康K06
right,6712,1000466,丰田,柯斯达
right,1127699,1000737,陕汽通家,福家
right,1127701,1000738,陕汽通家,福家
right,1127702,1000739,陕汽通家,福家
right,1127700,1000740,陕汽通家,福家
right,1127703,1000749,陕汽通家,福家
right,1127704,1000750,陕汽通家,福家
right,1127705,1000751,陕汽通家,福家
right,1146019,1000788,九龙,九龙A6
right,1146020,1000789,九龙,九龙A6
right,1146018,1000790,九龙,九龙A6
right,1160130,1000894,中兴,旗舰
right,1151041,1000964,金杯,雷龙
right,1151042,1000965,金杯,雷龙
right,1151043,1000966,金杯,雷龙
right,1151044,1000967,金杯,雷龙
right,1151045,1000968,金杯,雷龙
right,1151046,1000969,金杯,雷龙
right,1150827,1000976,开瑞,优优
right,1150827,1000976,开瑞,开瑞优优
right,1150821,1001243,开瑞,优优
right,1150821,1001243,开瑞,开瑞优优
right,1150824,1001244,开瑞,优优
right,1150824,1001244,开瑞,开瑞优优
right,1150822,1001245,开瑞,优优
right,1150822,1001245,开瑞,开瑞优优
right,1150825,1001246,开瑞,优优
right,1150825,1001246,开瑞,开瑞优优
right,1150823,1001247,开瑞,优优
right,1150823,1001247,开瑞,开瑞优优
right,1150826,1001248,开瑞,优优
right,1150826,1001248,开瑞,开瑞优优
right,1146017,1001452,九龙,九龙A6
right,1151024,1001721,海格,龙威
right,1127678,1002004,陕汽通家,福家
right,1127675,1002005,陕汽通家,福家
right,1127674,1002006,陕汽通家,福家
right,1127673,1002007,陕汽通家,福家
right,1127677,1002008,陕汽通家,福家
right,1127676,1002009,陕汽通家,福家
right,1127687,1002011,陕汽通家,龙锐
right,1127686,1002012,陕汽通家,龙锐
right,1127672,1002429,陕汽通家,福家
right,1127680,1002430,陕汽通家,福家
right,1127679,1002431,陕汽通家,福家
right,1127671,1002432,陕汽通家,福家
right,1127670,1002433,陕汽通家,福家
right,1127685,1002434,陕汽通家,龙锐
right,1127684,1002435,陕汽通家,龙锐
right,1127683,1002442,陕汽通家,龙锐
right,1127682,1002443,陕汽通家,龙锐
right,1156892,1002724,福特,经典全顺
right,1151021,1002726,海格,龙威
right,1151022,1002727,海格,龙威
right,23343,1002870,金杯,阁瑞斯
right,23342,1002872,金杯,阁瑞斯
right,23357,1002878,金杯,阁瑞斯
right,23356,1002879,金杯,阁瑞斯
right,23352,1002885,金杯,阁瑞斯
right,1146021,1002893,海格,海格H6V
right,1151023,1003082,海格,龙威
right,3829,1003161,长安商用,睿行M80
right,1142490,1003253,五菱,五菱荣光小卡
right,1142489,1003253,五菱,五菱荣光小卡
right,23047,1003377,东风风光,风光350
right,1146015,1003795,九龙,九龙A6
right,1146016,1003796,九龙,九龙A6
right,1146014,1003797,九龙,九龙A6
right,1127235,1004008,金杯,金杯海狮
right,30496,1004029,金杯,大海狮
right,30497,1004030,金杯,大海狮
right,1147648,1004862,依维柯,依维柯OUBA
right,1147647,1004863,依维柯,依维柯OUBA
