"car_id","car_name","car_year","car_restyle","car_series1","car_series3","benchi","car_drive","qx_name1","qx_name2","car_door","car_liter_wu","car_desc","car_auto","car_site","car_oil","car_discharge_standard","car_hp","car_height_t","car_wheelbase","car_engine","car_engine1","car_OBD","car_discharge","car_price","car_model_name"
1000,"别克",2013,"","英朗","","","","舒适","XT","","1.6L","","自动","","","","","","","","","","国四",14.49,"2013款 英朗XT 1.6L 自动 舒适型"
10002,"JEEP",2010,"","大切诺基-进口","","","","","","","3.7L","","","","","","","","","","","","欧四",42.19,"2010款 大切诺基(进口) 3.7L"
10003,"JEEP",2010,"","大切诺基-进口","","","","","HEMI","","5.7L","","","","","","","","","","","","欧四",59.69,"2010款 大切诺基(进口) 5.7L HEMI"
10005,"JEEP",2007,"","大切诺基-进口","","","","","","","4.7L","","","","","","","","","","","","欧四",49.9,"2007款 大切诺基(进口) 4.7L"
10006,"JEEP",2007,"","大切诺基-进口","","","","","HEMI","","5.7L","","","","","","","","","","","","欧四",59.69,"2007款 大切诺基(进口) 5.7L HEMI"
10008,"JEEP",2013,"","牧马人","","","","","SAHARA","两门","3.6L","","自动","","","","","","","","","","国四",42.99,"2013款 牧马人 3.6L 自动 两门Sahara"
10009,"JEEP",2013,"","牧马人","","","","","SAHARA","四门","3.6L","","自动","","","","","","","","","","国四",46.99,"2013款 牧马人 3.6L 自动 四门Sahara"
1001,"别克",2013,"","英朗","","","","时尚","XT","","1.6L","","自动","","","","","","","","","","国四",14.99,"2013款 英朗XT 1.6L 自动 时尚型"
10010,"JEEP",2013,"","牧马人","","","","","RUBICON","两门","3.6L","","自动","","","","","","","","","","国四",48.99,"2013款 牧马人 3.6L 自动 两门Rubicon"
10011,"JEEP",2013,"","牧马人","","","","","RUBICON","两门","3.6L","","自动","纪念型","","","","","","","","","国四",55.99,"2013款 牧马人 3.6L 自动 两门Rubicon 十周年纪念版"
10012,"JEEP",2013,"","牧马人","","","","","RUBICON","四门","3.6L","","自动","","","","","","","","","","国四",53.99,"2013款 牧马人 3.6L 自动 四门Rubicon"
10013,"JEEP",2013,"","牧马人","","","","","RUBICON","四门","3.6L","","自动","纪念型","","","","","","","","","国四",59.99,"2013款 牧马人 3.6L 自动 四门Rubicon 十周年纪念版"
10014,"JEEP",2012,"","牧马人","","","","","SAHARA","两门","3.6L","","自动","","","","","","","","","","欧四",44.99,"2012款 牧马人 3.6L 自动 两门Sahara"
10015,"JEEP",2012,"","牧马人","","","","极地","SAHARA","两门","3.6L","","自动","","","","","","","","","","欧四",47.99,"2012款 牧马人 3.6L 自动 两门Sahara 极地版"
10016,"JEEP",2012,"","牧马人","","","","","SAHARA","四门","3.6L","","自动","","","","","","","","","","欧四",48.99,"2012款 牧马人 3.6L 自动 四门Sahara"
10018,"JEEP",2012,"","牧马人","","","","","RUBICON","两门","3.6L","","自动","","","","","","","","","","欧四",50.99,"2012款 牧马人 3.6L 自动 两门Rubicon"
10019,"JEEP",2012,"","牧马人","","","","","RUBICON","四门","3.6L","","自动","","","","","","","","","","欧四",54.99,"2012款 牧马人 3.6L 自动 四门Rubicon"
10020,"JEEP",2011,"","牧马人","","","","","SAHARA","两门","","","","","","","","","","","","","欧四",41.89,"2011款 牧马人 两门Sahara"
10021,"JEEP",2011,"","牧马人","","","","","SAHARA","四门","","","","","","","","","","","","","欧四",45.69,"2011款 牧马人 四门Sahara"
10022,"JEEP",2011,"","牧马人","","","","","RUBICON","两门","","","","","","","","","","","","","欧四",47.89,"2011款 牧马人 两门Rubicon"
10023,"JEEP",2011,"","牧马人","","","","","RUBICON","四门","","","","","","","","","","","","","欧四",51.69,"2011款 牧马人 四门Rubicon"
10024,"JEEP",2010,"","牧马人","","","","","SAHARA","两门","","","","","","","","","","","","","欧四",41.89,"2010款 牧马人 两门Sahara"
10025,"JEEP",2010,"","牧马人","","","","","SAHARA","四门","","","","","","","","","","","","","欧四",45.69,"2010款 牧马人 四门Sahara"
10026,"JEEP",2010,"","牧马人","","","","","RUBICON","两门","","","","","","","","","","","","","欧四",47.89,"2010款 牧马人 两门Rubicon"
10027,"JEEP",2010,"","牧马人","","","","","RUBICON","四门","","","","","","","","","","","","","欧四",51.69,"2010款 牧马人 四门Rubicon"
10028,"JEEP",2009,"","牧马人","","","","","RUBICON","两门","","","","","","","","","","","","","欧四",47.89,"2009款 牧马人 两门Rubicon"
10029,"JEEP",2009,"","牧马人","","","","","RUBICON","四门","","","","","","","","","","","","","欧四",51.69,"2009款 牧马人 四门Rubicon"
1003,"别克",2013,"","英朗","","","","新锐运动","XT","","1.6T","","自动","","","","","","","","","","国五",18.15,"2013款 英朗XT 1.6T 自动 新锐运动型"
10030,"JEEP",2008,"","牧马人","","","","","SAHARA","两门","","","","","","","","","","","","","欧四",41.89,"2008款 牧马人 两门Sahara"
10031,"JEEP",2008,"","牧马人","","","","","","四门","3.8L","","","","","","","","","","","","欧四",43.99,"2008款 牧马人 3.8L 四门硬顶"
10032,"JEEP",2008,"","牧马人","","","","","SAHARA","四门","3.8L","","","","","","","","","","","","欧四",45.69,"2008款 牧马人 3.8L 四门 Sahara"
10033,"JEEP",2007,"","牧马人","","","","","","三门","3.8L","","","","","","","","","","","","欧四",39.99,"2007款 牧马人 3.8L 三门"
10034,"JEEP",2007,"","牧马人","","","","","","五门","3.8L","","","","","","","","","","","","欧四",43.99,"2007款 牧马人 3.8L 五门"
10035,"JEEP",2004,"","牧马人","","","","","","","2.4L","","","","","","","","","","","","欧三",45,"2004款 牧马人 2.4L"
10036,"JEEP",2004,"","牧马人","","","","顶级","","","4.0L","","","","","","","","","","","","欧三",51,"2004款 牧马人 4.0L顶级版"
1004,"别克",2012,"","英朗","","","","舒适","XT","","1.6L","","手动","","","","","","","","","","国四",12.99,"2012款 英朗XT 1.6L 手动 舒适版"
1005,"别克",2012,"","英朗","","","","进取","XT","","1.6L","","手动","","","","","","","","","","国四",13.49,"2012款 英朗XT 1.6L 手动 进取型"
10052,"JEEP",2010,"","指挥官","","","","","","","4.7L","","","","","","","","","","","","欧四",61.99,"2010款 指挥官 4.7L"
10053,"JEEP",2010,"","指挥官","","","","","HEMI","","5.7L","","","","","","","","","","","","欧四",64.99,"2010款 指挥官 5.7L HEMI"
10056,"JEEP",2007,"","指挥官","","","","限量","","","4.7L","","","","","","","","","","","","欧四",61.99,"2007款 指挥官 4.7L 限量版"
10057,"JEEP",2007,"","指挥官","","","","限量","","","5.7L","","","","","","","","","","","","欧四",64.99,"2007款 指挥官 5.7L 限量版"
10058,"JEEP",2004,"","自由人","","","","","","","3.7L","","","","","","","","","","","","欧三",45.8,"2004款 自由人 3.7L"
1006,"别克",2012,"","英朗","","","","舒适","XT","","1.6L","","自动","","","","","","","","","","国四",14.49,"2012款 英朗XT 1.6L 自动 舒适版"
1007,"别克",2012,"","英朗","","","","时尚","XT","","1.6L","","自动","","","","","","","","","","国四",14.99,"2012款 英朗XT 1.6L 自动 时尚型"
10080,"吉利全球鹰",2013,"","熊猫","","","","舒适","Ⅱ","","1.3L","","手动","","","","","","","","","","国四",4.29,"2013款 熊猫 1.3L 手动 舒适型II"
10081,"吉利全球鹰",2013,"","熊猫","","","","尊贵","","","1.3L","","自动","","","","","","","","","","国四",5.49,"2013款 熊猫 1.3L 自动 尊贵型"
10088,"吉利全球鹰",2011,"","熊猫","","","","无敌","","","1.3L","","手动","","","","","","","","","","国四",5.98,"2011款 熊猫 1.3L MT 无敌型"
1009,"别克",2012,"","英朗","","","","新锐运动","XT","","1.6T","","自动","","","","","","","","","","国四",18.15,"2012款 英朗XT 1.6T 自动 新锐运动型"
10091,"吉利全球鹰",2011,"","熊猫","","","","爱她无敌","","","1.5L","","自动","","","","","","","","","","国四",6.98,"2011款 熊猫 1.5L AT 爱她版 无敌型"
10095,"吉利全球鹰",2010,"","熊猫","","","","功夫","","","1.3L","","手动","","","","","","","","","","国四",4.18,"2010款 熊猫 1.3L MT 功夫版"
10096,"吉利全球鹰",2010,"","熊猫","","","","灵动","","","1.3L","","手动","","","","","","","","","","国四",4.58,"2010款 熊猫 1.3L MT 灵动版"
10097,"吉利全球鹰",2010,"","熊猫","","","","乐动","","","1.3L","","手动","","","","","","","","","","国四",4.88,"2010款 熊猫 1.3L MT 乐动版"
10098,"吉利全球鹰",2010,"","熊猫","","","","无敌","","","1.3L","","手动","","","","","","","","","","国四",5.18,"2010款 熊猫 1.3L MT 无敌版"
10099,"吉利全球鹰",2010,"","熊猫","","","","尊贵领航","","","1.3L","","手动","","","","","","","","","","国四",5.58,"2010款 熊猫 1.3L MT 领航版 尊贵型"
1010,"别克",2010,"","英朗","","","","进取","XT","","1.6L","","手动","","","","","","","","","","国四",13.49,"2010款 英朗XT 1.6L 手动进取版"
10100,"吉利全球鹰",2010,"","熊猫","","","","爱她标准","","","1.3L","","自动","","","","","","","","","","国四",5.18,"2010款 熊猫 1.3L AT 爱她版 标准型"
10101,"吉利全球鹰",2010,"","熊猫","","","","爱她舒适","","","1.3L","","自动","","","","","","","","","","国四",5.48,"2010款 熊猫 1.3L AT 爱她版 舒适型"
10102,"吉利全球鹰",2010,"","熊猫","","","","爱她豪华","","","1.3L","","自动","","","","","","","","","","国四",5.78,"2010款 熊猫 1.3L AT 爱她版 豪华型"
10103,"吉利全球鹰",2010,"","熊猫","","","","爱她尊贵","","","1.3L","","自动","","","","","","","","","","国四",5.88,"2010款 熊猫 1.3L AT 爱她版 尊贵型"
10104,"吉利全球鹰",2010,"","熊猫","","","","爱她无敌","","","1.3L","","自动","","","","","","","","","","国四",6.18,"2010款 熊猫 1.3L AT 爱她版 无敌型"
10105,"吉利全球鹰",2010,"","熊猫","","","","爱她标准","","","1.5L","","自动","","","","","","","","","","国四",5.58,"2010款 熊猫 1.5L AT 爱她版 标准型"
10106,"吉利全球鹰",2010,"","熊猫","","","","爱她舒适","","","1.5L","","自动","","","","","","","","","","国四",5.88,"2010款 熊猫 1.5L AT 爱她版 舒适型"
10107,"吉利全球鹰",2010,"","熊猫","","","","爱她豪华","","","1.5L","","自动","","","","","","","","","","国四",6.18,"2010款 熊猫 1.5L AT 爱她版 豪华型"
10108,"吉利全球鹰",2010,"","熊猫","","","","爱她尊贵","","","1.5L","","自动","","","","","","","","","","国四",6.28,"2010款 熊猫 1.5L AT 爱她版 尊贵型"
10109,"吉利全球鹰",2009,"","熊猫","","","","活力","","","1.0L","","手动","","","","","","","","","","国四",3.68,"2009款 熊猫 1.0L MT 活力版"
1011,"别克",2010,"","英朗","","","","时尚","XT","","1.6L","","自动","","","","","","","","","","国四",14.99,"2010款 英朗XT 1.6L 自动时尚版"
10118,"吉利全球鹰",2009,"","熊猫","","","","爱她标准","","","1.3L","","自动","","","","","","","","","","国四",5.18,"2009款 熊猫 1.3L AT 爱她版 标准型"
10119,"吉利全球鹰",2009,"","熊猫","","","","爱她舒适","","","1.3L","","自动","","","","","","","","","","国四",5.48,"2009款 熊猫 1.3L AT 爱她版 舒适型"
1012,"别克",2010,"","英朗","","","","时尚运动","XT","","1.6T","","","","","","","","","","","","国四",16.99,"2010款 英朗XT 1.6T 时尚运动版"
10120,"吉利全球鹰",2009,"","熊猫","","","","爱她豪华","","","1.3L","","自动","","","","","","","","","","国四",5.78,"2009款 熊猫 1.3L AT 爱她版 豪华型"
10121,"吉利全球鹰",2009,"","熊猫","","","","爱她标准","","","1.5L","","自动","","","","","","","","","","国四",5.58,"2009款 熊猫 1.5L AT 爱她版 标准型"
10122,"吉利全球鹰",2009,"","熊猫","","","","爱她舒适","","","1.5L","","自动","","","","","","","","","","国四",5.88,"2009款 熊猫 1.5L AT 爱她版 舒适型"
10123,"吉利全球鹰",2009,"","熊猫","","","","爱她豪华","","","1.5L","","自动","","","","","","","","","","国四",6.18,"2009款 熊猫 1.5L AT 爱她版 豪华型"
1013,"别克",2010,"","英朗","","","","时尚运动","XT OS","","1.6T","","","","","","","","","","","","国四",17.15,"2010款 英朗XT 1.6T 时尚运动版 OS"
1014,"别克",2010,"","英朗","","","","新锐运动","XT","","1.6T","","","","","","","","","","","","国四",17.99,"2010款 英朗XT 1.6T 新锐运动版"
10144,"吉利全球鹰",2011,"","自由舰","","","","精英","","","1.0L","CVVT","手动","","","","","","","","","","国四",4.28,"2011款 自由舰 1.0L MT CVVT 精英型"
10145,"吉利全球鹰",2011,"","自由舰","","","","时尚","","","1.3L","","手动","","","","","","","","","","国四",4.48,"2011款 自由舰 1.3L MT 时尚型"
1015,"别克",2010,"","英朗","","","","新锐运动","XT OS","","1.6T","","","","","","","","","","","","国四",18.15,"2010款 英朗XT 1.6T 新锐运动版 OS"
10158,"吉利全球鹰",2009,"","自由舰","","","","精致舒适","","","1.3L","","手动","","","","","","","","","","国三",5.18,"2009款 自由舰 精致版 1.3L-MT 舒适型"
10159,"吉利全球鹰",2009,"","自由舰","","","","精致豪华","","","1.3L","","手动","","","","","","","","","","国三",5.38,"2009款 自由舰 精致版 1.3L-MT 豪华型"
1016,"别克",2010,"","英朗","","","","时尚","XT","","1.8L","","自动","","","","","","","","","","国四",15.79,"2010款 英朗XT 1.8L 自动时尚版"
10163,"吉利全球鹰",2007,"","自由舰","","","","标准","","","1.5L","","","","","","","","","","","","国三",4.98,"2007款 自由舰 1.5L 标准版"
1017,"别克",2010,"","英朗","","","","时尚","XT OS","","1.8L","","自动","","","","","","","","","","国四",15.95,"2010款 英朗XT 1.8L 自动时尚版 OS"
10174,"吉利全球鹰",2006,"","自由舰","","","","舰精锐","","","1.6L","","","","","","","","","","","","国三",5.88,"2006款 自由舰 1.6L 精锐舰"
10175,"吉利全球鹰",2006,"","自由舰","","","","舰精英","","","1.6L","","","","","","","","","","","","国三",6.18,"2006款 自由舰 1.6L 精英舰"
10176,"吉利全球鹰",2005,"","自由舰","","","","无极舰","","","1.5L","","自动","","","","","","","","","","国三",6.58,"2005款 自由舰 1.5L 无极舰 自动"
1018,"别克",2010,"","英朗","","","","豪华","XT","","1.8L","","自动","","","","","","","","","","国四",18.59,"2010款 英朗XT 1.8L 自动豪华版"
10185,"吉利全球鹰",2012,"","远景","","","","","","","1.5L","DVVT","手动","天窗型","","","","","","","","","国四",6.68,"2012款 远景 1.5L DVVT 手动 天窗版"
10187,"吉利全球鹰",2011,"","远景","","","","白金","","","1.5L","CVVT","手动","","","","","","","","","","国四",5.38,"2011款 远景 1.5L CVVT 手动 白金版"
10188,"吉利全球鹰",2011,"","远景","","","","铂金","","","1.5L","CVVT","手动","","","","","","","","","","国四",5.98,"2011款 远景 1.5L CVVT 手动 铂金版"
1019,"别克",2010,"","英朗","","","","豪华","XT OS","","1.8L","","自动","","","","","","","","","","国四",18.69,"2010款 英朗XT 1.8L 自动豪华版 OS"
10190,"吉利全球鹰",2011,"","远景","","","","尊贵","","","1.5L","CVVT","手动","","","","","","","","","","国四",6.58,"2011款 远景 1.5L CVVT 手动 尊贵版"
10191,"吉利全球鹰",2011,"","远景","","","","铂金","","","1.5L","CVVT","手动","","CNG","","","","","","","","国四",6.98,"2011款 远景 1.5L CVVT 手动 铂金版 (CNG车型)"
10193,"吉利全球鹰",2011,"","远景","","","","标准","","","1.8L","CVVT","手动","","","","","","","","","","国四",6.68,"2011款 远景 1.8L CVVT 手动 标准型"
10194,"吉利全球鹰",2011,"","远景","","","","舒适","","","1.8L","CVVT","手动","","","","","","","","","","国四",7.38,"2011款 远景 1.8L CVVT 手动 舒适型"
10195,"吉利全球鹰",2011,"","远景","","","","标准","BMBS","","1.8L","","","","","","","","","","","","国四",7.98,"2011款 远景 1.8L BMBS版 标准型"
10196,"吉利全球鹰",2011,"","远景","","","","舒适","BMBS","","1.8L","","","","","","","","","","","","国四",8.58,"2011款 远景 1.8L BMBS版 舒适型"
1020,"别克",2013,"","GL8","","","","经典","","","2.4L","","自动","","","","","","","","","","国四",20.9,"2013款 GL8 2.4L 自动 经典版"
10202,"吉利全球鹰",2008,"","远景","","","","油汽基本","","","1.8L","CVVT","手动","","双燃料","","","","","","","","国三",7.58,"2008款 远景 1.8L CVVT-MT油汽双燃料基本型"
10203,"吉利全球鹰",2006,"","远景","","","","基本","","","1.8L","CVVT","手动","","","","","","","","","","国三",6.58,"2006款 远景 1.8L CVVT-MT基本型"
10204,"吉利全球鹰",2006,"","远景","","","","","","","1.8L","CVVT","手动","天窗型","","","","","","","","","国三",6.98,"2006款 远景 1.8L CVVT-MT天窗版"
10205,"吉利全球鹰",2006,"","远景","","","","标准","","","1.8L","CVVT","手动","","","","","","","","","","国三",6.98,"2006款 远景 1.8L CVVT-MT标准型"
10208,"吉利全球鹰",2012,"","吉利GX2","","","","舒适","","","1.3L","","手动","","","","","","","","","","国四",5.09,"2012款 吉利GX2 1.3L 手动 舒适型"
10209,"吉利全球鹰",2012,"","吉利GX2","","","","标准","Ⅱ","","1.5L","","自动","","","","","","","","","","国四",5.49,"2012款 吉利GX2 1.5L 自动 标准型Ⅱ"
