"match_des","id_data_input","id_che300","brand","series"
"right",1147166,"101466","日产","蓝鸟"
"right",1150769,"101493","日产","阳光"
"right",1150766,"101494","日产","阳光"
"right",1150767,"101495","日产","阳光"
"right",1150768,"101496","日产","阳光"
"right",1150947,"101916","大众","POLO"
"right",1150949,"101916","大众","POLO"
"right",1150531,"111371","大众","帕萨特领驭"
"right",1150548,"115776","丰田","卡罗拉"
"right",1147124,"117836","铃木","雨燕"
"right",1150551,"118496","路虎","揽胜运动版"
"right",13957,"119003","起亚","起亚K5"
"right",13959,"119003","起亚","起亚K5"
"right",1147578,"125599","东风","御风"
"right",1150919,"126185","中兴","威虎G3"
"right",1150920,"126186","中兴","威虎G3"
"right",1150921,"126187","中兴","威虎G3"
"right",1150922,"128342","中兴","威虎G3"
"right",1147213,"128579","东风","东风皮卡"
"right",1147214,"128579","东风","东风皮卡"
"right",1149442,"128746","长城","风骏5"
"right",1149443,"128747","长城","风骏5"
"right",1149444,"128752","长城","风骏5"
"right",1149445,"128753","长城","风骏5"
"right",1147234,"129359","江淮","帅铃T6"
"right",1147236,"129361","江淮","帅铃T6"
"right",1147235,"131370","江淮","帅铃T6"
"right",1147237,"131372","江淮","帅铃T6"
"right",1147551,"133839","东风","御风"
"right",1147552,"133840","东风","御风"
"right",1147553,"133841","东风","御风"
"right",1147554,"133842","东风","御风"
"right",1147555,"133843","东风","御风"
"right",1147556,"133844","东风","御风"
"right",1147559,"133845","东风","御风"
"right",1147562,"133846","东风","御风"
"right",1147557,"133847","东风","御风"
"right",1147558,"133848","东风","御风"
"right",1147560,"133849","东风","御风"
"right",1147561,"133850","东风","御风"
"right",1147563,"133851","东风","御风"
"right",1147564,"133853","东风","御风"
"right",1147565,"133854","东风","御风"
"right",1126985,"134455","MINI","MINI"
"right",1127472,"135499","JEEP","指南者"
"right",1127471,"135500","JEEP","指南者"
"right",1127470,"135501","JEEP","指南者"
"right",1127469,"135502","JEEP","指南者"
"right",1127474,"135891","JEEP","指南者"
"right",1127473,"135892","JEEP","指南者"
"right",1127085,"135974","大通","T60"
"right",1127086,"135975","大通","T60"
"right",1127087,"135976","大通","T60"
"right",1127088,"135977","大通","T60"
"right",1127089,"135978","大通","T60"
"right",1127123,"135978","大通","T60"
"right",1127090,"135979","大通","T60"
"right",1127124,"135979","大通","T60"
"right",1127091,"135980","大通","T60"
"right",1127092,"135981","大通","T60"
"right",1127097,"135986","大通","T60"
"right",1127131,"135986","大通","T60"
"right",1127098,"135987","大通","T60"
"right",1127132,"135987","大通","T60"
"right",1127099,"135988","大通","T60"
"right",1127100,"135989","大通","T60"
"right",1127101,"135990","大通","T60"
