"match_des","id_data_input","id_che300","brand","series"
"right",19247,"1","新雅途","新雅途"
"right",9930,"10","JEEP","大切诺基"
"right",2984,"100","北汽制造","雷驰"
"right",15140,"1000","日产","骐达"
"right",1942,"100001","奔驰","唯雅诺"
"right",1941,"100002","奔驰","唯雅诺"
"right",16942,"100003","现代","现代IX35"
"right",754,"100004","本田","歌诗图"
"right",11837,"100005","克莱斯勒","克莱斯勒300C"
"right",4954,"100006","大众","甲壳虫"
"right",13861,"10001","讴歌","讴歌MDX"
"right",10955,"100010","金杯","智尚S30"
"right",10954,"100011","金杯","智尚S30"
"right",10957,"100012","金杯","智尚S30"
"right",13862,"10002","讴歌","讴歌MDX"
"right",19317,"10003","英菲尼迪","英菲尼迪EX"
"right",1866,"100031","奔驰","奔驰E"
"right",1865,"100032","奔驰","奔驰E"
"right",1864,"100033","奔驰","奔驰E"
"right",1863,"100034","奔驰","奔驰E"
"right",1862,"100035","奔驰","奔驰E"
"right",617,"100038","思铭","思铭"
"right",16405,"100039","SMART","FORTWO"
"right",19318,"10004","英菲尼迪","英菲尼迪EX"
"right",16686,"100040","沃尔沃","沃尔沃S80L"
"right",16687,"100041","沃尔沃","沃尔沃S80L"
"right",16688,"100042","沃尔沃","沃尔沃S80L"
"right",16689,"100043","沃尔沃","沃尔沃S80L"
"right",16690,"100044","沃尔沃","沃尔沃S80L"
"right",2670,"100045","保时捷","911"
"right",6157,"100059","福特","锐界"
"right",3147,"10006","长安轿车","奔奔MINI"
"right",6158,"100060","福特","锐界"
"right",6159,"100061","福特","锐界"
"right",1027,"100063","别克","GL8"
"right",4848,"100065","大众","辉腾"
"right",4847,"100066","大众","辉腾"
"right",4851,"100067","大众","辉腾"
"right",705,"100068","本田","雅阁"
"right",3148,"10007","长安轿车","奔奔MINI"
"right",4852,"100070","大众","辉腾"
"right",4853,"100071","大众","辉腾"
"right",20645,"100071","大众","辉腾"
"right",4846,"100072","大众","辉腾"
"right",19457,"100074","现代","索纳塔"
"right",3149,"10008","长安轿车","奔奔MINI"
"right",2552,"100080","标致","标致4008"
"right",2553,"100081","标致","标致4008"
