match_des,id_data_input,id_che300,brand,series
right,19604,9021817,奥迪,奥迪A6
right,31497,9021826,奥迪,奥迪A6
right,149,9021826,奥迪,奥迪A6
right,152,9021826,奥迪,奥迪A6
right,160,9003673,奥迪,奥迪A6
right,1142252,9021886,奥迪,奥迪A6
right,1126831,9008018,奥迪,奥迪A4
right,468,4048,奥迪,奥迪A4
right,19614,11848,奥迪,奥迪A6
right,19613,1929,奥迪,奥迪A6
right,19612,11857,奥迪,奥迪A6
right,19608,5030,奥迪,奥迪A6
right,19611,1940,奥迪,奥迪A6
right,19610,14248,奥迪,奥迪A6
right,19609,11828,奥迪,奥迪A6
right,19607,14242,奥迪,奥迪A6
right,19606,11820,奥迪,奥迪A6
right,19605,11809,奥迪,奥迪A6
right,19603,9350,奥迪,奥迪A6
right,159,9028935,奥迪,奥迪A6
right,163,9005727,奥迪,奥迪A6
right,167,9005713,奥迪,奥迪A6
right,164,9000140,奥迪,奥迪A6
right,166,9000140,奥迪,奥迪A6
right,1127929,9012832,奥迪,奥迪Q3
right,1127930,9012831,奥迪,奥迪Q3
right,1127934,9012827,奥迪,奥迪Q3
right,1127933,9012828,奥迪,奥迪Q3
right,1127935,9012826,奥迪,奥迪Q3
right,1127932,9012829,奥迪,奥迪Q3
right,1127931,9012830,奥迪,奥迪Q3
right,1127937,9012824,奥迪,奥迪Q3
right,1127936,9012825,奥迪,奥迪Q3
right,1127939,9012822,奥迪,奥迪Q3
right,1127938,9012823,奥迪,奥迪Q3
right,30810,9009880,奥迪,奥迪Q3
right,30811,9009879,奥迪,奥迪Q3
right,30813,9009877,奥迪,奥迪Q3
right,30814,9005987,奥迪,奥迪Q3
right,29813,9005455,奥迪,奥迪Q3
right,29812,9005461,奥迪,奥迪Q3
right,29814,9005474,奥迪,奥迪Q3
right,30812,9009878,奥迪,奥迪Q3
right,31622,9009881,奥迪,奥迪Q3
right,30815,9009875,奥迪,奥迪Q3
right,30817,9005948,奥迪,奥迪Q3
right,30816,9005897,奥迪,奥迪Q3
right,29811,9005459,奥迪,奥迪Q3
right,29810,9005458,奥迪,奥迪Q3
right,27481,9003115,奥迪,奥迪Q3
right,22076,15141,奥迪,奥迪Q3
right,22071,15136,奥迪,奥迪Q3
right,22072,15137,奥迪,奥迪Q3
right,25112,9003111,奥迪,奥迪Q3
right,25111,9003110,奥迪,奥迪Q3
right,25113,9003112,奥迪,奥迪Q3
right,25114,9003113,奥迪,奥迪Q3
right,25115,9003114,奥迪,奥迪Q3
right,22075,15140,奥迪,奥迪Q3
right,22074,15139,奥迪,奥迪Q3
right,22073,15138,奥迪,奥迪Q3
right,22069,14853,奥迪,奥迪Q3
right,22070,14854,奥迪,奥迪Q3
right,22068,14852,奥迪,奥迪Q3
right,173,4717,奥迪,奥迪Q3
right,168,5009,奥迪,奥迪Q3
right,169,5560,奥迪,奥迪Q3
right,172,5562,奥迪,奥迪Q3
right,171,5008,奥迪,奥迪Q3
right,170,5561,奥迪,奥迪Q3
right,32934,9008205,奥迪,奥迪Q5
right,32930,9008209,奥迪,奥迪Q5
right,32932,9008207,奥迪,奥迪Q5
right,32933,9008206,奥迪,奥迪Q5
right,1132932,9008206,奥迪,奥迪Q5
right,32931,9008208,奥迪,奥迪Q5
right,29414,9004088,奥迪,奥迪Q5
right,30104,9008203,奥迪,奥迪Q5
right,29418,9004592,奥迪,奥迪Q5
right,29416,9004061,奥迪,奥迪Q5
right,31620,9008204,奥迪,奥迪Q5
right,29415,9004343,奥迪,奥迪Q5
right,30103,9008202,奥迪,奥迪Q5
right,29417,9003963,奥迪,奥迪Q5
right,24625,9002013,奥迪,奥迪Q5
right,27479,9002017,奥迪,奥迪Q5
right,24627,9002015,奥迪,奥迪Q5
right,24626,9002014,奥迪,奥迪Q5
right,24628,9002016,奥迪,奥迪Q5
right,24624,9002012,奥迪,奥迪Q5
right,39,5790,奥迪,奥迪Q5
right,43,5794,奥迪,奥迪Q5
right,41,5792,奥迪,奥迪Q5
right,40,5791,奥迪,奥迪Q5
right,42,5793,奥迪,奥迪Q5
right,38,5724,奥迪,奥迪Q5
right,44,2471,奥迪,奥迪Q5
right,47,2476,奥迪,奥迪Q5
right,46,2473,奥迪,奥迪Q5
right,45,2472,奥迪,奥迪Q5
right,48,2474,奥迪,奥迪Q5
right,49,13652,奥迪,奥迪Q5
right,52,13657,奥迪,奥迪Q5
right,51,13656,奥迪,奥迪Q5
right,50,13654,奥迪,奥迪Q5
right,53,13658,奥迪,奥迪Q5
right,54,10984,奥迪,奥迪Q5
right,57,12427,奥迪,奥迪Q5
right,56,12426,奥迪,奥迪Q5
right,55,12425,奥迪,奥迪Q5
right,19576,9654,奥迪,奥迪A4
right,19575,9653,奥迪,奥迪A4
right,19574,9652,奥迪,奥迪A4
right,19572,9650,奥迪,奥迪A4
right,19571,9649,奥迪,奥迪A4
right,19573,9651,奥迪,奥迪A4
right,181,9017661,奥迪,奥迪A4
right,19980,9002,奥迪,奥迪A4
right,180,9001,奥迪,奥迪A4
right,179,9000,奥迪,奥迪A4
right,19979,8999,奥迪,奥迪A4
right,19977,8998,奥迪,奥迪A4
right,19976,8997,奥迪,奥迪A4
right,178,8996,奥迪,奥迪A4
right,19975,8995,奥迪,奥迪A4
right,19978,9251,奥迪,奥迪A4
right,19988,8032,奥迪,奥迪A4
right,19986,8653,奥迪,奥迪A4
right,19987,4406,奥迪,奥迪A4
right,19985,8035,奥迪,奥迪A4
right,19984,8034,奥迪,奥迪A4
right,19982,8031,奥迪,奥迪A4
right,19981,8030,奥迪,奥迪A4
right,19983,8033,奥迪,奥迪A4
right,19994,5391,奥迪,奥迪A4
right,193,9017655,奥迪,奥迪A4
right,19992,5370,奥迪,奥迪A4
right,19991,5359,奥迪,奥迪A4
right,19993,6364,奥迪,奥迪A4
right,21018,9017665,奥迪,奥迪A4
right,190,9017660,奥迪,奥迪A4
right,191,9017659,奥迪,奥迪A4
right,21016,9017659,奥迪,奥迪A4
right,192,9017654,奥迪,奥迪A4
right,188,9017658,奥迪,奥迪A4
right,187,9017656,奥迪,奥迪A4
right,184,5336,奥迪,奥迪A4
right,19990,5348,奥迪,奥迪A4
right,182,5333,奥迪,奥迪A4
right,21017,5323,奥迪,奥迪A4
right,30995,5323,奥迪,奥迪A4
right,186,5342,奥迪,奥迪A4
right,20001,9331,奥迪,奥迪A4
right,19997,9299,奥迪,奥迪A4
right,19999,4800,奥迪,奥迪A4
right,19998,9310,奥迪,奥迪A4
right,202,9017663,奥迪,奥迪A4
right,198,14226,奥迪,奥迪A4
right,199,9017647,奥迪,奥迪A4
right,200,9017648,奥迪,奥迪A4
right,21015,9017664,奥迪,奥迪A4
right,19995,9288,奥迪,奥迪A4
right,195,9017653,奥迪,奥迪A4
right,197,4955,奥迪,奥迪A4
right,194,9017645,奥迪,奥迪A4
right,19996,3034,奥迪,奥迪A4
right,208,9017652,奥迪,奥迪A4
right,21012,9017652,奥迪,奥迪A4
right,206,9017650,奥迪,奥迪A4
right,207,9017651,奥迪,奥迪A4
right,205,9017649,奥迪,奥迪A4
right,21013,9006245,奥迪,奥迪A4
right,204,9017646,奥迪,奥迪A4
right,21011,9006243,奥迪,奥迪A4
right,21010,9003787,奥迪,奥迪A4
right,21009,9003787,奥迪,奥迪A4
right,1128954,9028957,奥迪,奥迪A3
right,1128953,9028952,奥迪,奥迪A3
right,1128960,9028955,奥迪,奥迪A3
right,1128962,9028953,奥迪,奥迪A3
right,1128959,9028956,奥迪,奥迪A3
right,1128961,9028954,奥迪,奥迪A3
right,1128952,9028962,奥迪,奥迪A3
right,1128951,9028963,奥迪,奥迪A3
right,1128956,9028960,奥迪,奥迪A3
right,1128958,9028958,奥迪,奥迪A3
right,1128955,9028961,奥迪,奥迪A3
right,1128957,9028959,奥迪,奥迪A3
right,30446,9010196,奥迪,奥迪A3
right,30445,9010197,奥迪,奥迪A3
right,30450,9010195,奥迪,奥迪A3
right,30451,9010194,奥迪,奥迪A3
right,30452,9010193,奥迪,奥迪A3
